content,军事能力,传奇色彩,政治能力,家庭背景,私德品行,|
帝舜用八恺的后代，帝舜让八恺的后代主管农业，负责各项政务,0,0,1,0,0,0
帝舜进行考察,0,0,1,0,0,0
德政开始从帝舜时代,0,0,1,0,1,0
帝尧派帝舜进入山野丛林大川草泽，帝舜遇暴风雷雨，帝舜没有迷路误事,1,0,0,0,0,0
帝舜行天子之政，帝舜到四方,0,0,1,0,0,0
帝舜收集公侯伯子男五等侯爵所持桓圭、信圭、躬圭、谷璧、蒲璧五种玉制符信，公侯伯子男五等侯爵持符信，帝舜选择良月吉日，帝舜召见四岳和各州州牧,0,0,1,0,0,0
帝舜让朱虎熊罴做益的助手,0,0,1,0,0,0
帝喾有灵气,0,1,0,0,0,0
帝喾高辛是黄帝的曾孙，帝喾的父亲叫蟜极，蟜极的父亲叫玄嚣，玄嚣的父亲是黄帝。玄嚣和蟜极没有登帝位，帝喾是颛顼的侄子,0,0,0,1,0,0
帝喾号为高辛,0,0,0,0,0,1
帝喾了解久远的情况，帝喾洞察细微的事理,0,0,1,0,0,0
帝喾行动合乎时宜，服用如同士人,0,0,0,0,1,0
帝喾施予恩泽,0,0,0,0,1,0
帝喾收取土地上的物产，帝喾抚爱教化万民，帝喾教各种有益的事，帝喾推算日月的运行,0,0,1,0,0,0
项羽想要向东渡过乌江，乌江亭长等待项羽。项羽说，上天要灭亡我，我渡江干什么呢。我项羽于心有愧,0,0,0,0,1,0
诸侯军的将领们听到秦军的打算，诸侯军的将领们报告项羽,1,0,0,0,0,0
项羽封司马印为殷王,0,0,1,0,0,0
项梁觉得项羽不同于一般人,0,0,0,0,0,1
樊哙说，你听信闲言细语，你要杀有功的人。项羽无辞对，项王说，坐,0,0,0,0,0,1
项羽命令衡山王、临江王击杀义帝,1,0,1,0,0,0
四面的汉军唱楚地歌曲，项羽震惊说。汉军已经全部占领了楚国吗,1,0,0,0,0,0
楚军名冠诸侯，楚军战士以一当十,1,0,0,0,0,0
项羽说，我听说秦军把赵王围在巨鹿，赶快带兵渡河，楚军从外面攻打，赵军在内响应，一定能打垮秦军,1,0,0,0,0,0
项羽怒,0,0,0,0,0,1
项羽攻打陈留,1,0,0,0,0,0
项羽率领全军，凿船只，烧毁营舍，携带三天口粮，项羽用以表示士卒拼死决战,1,0,0,0,1,0
吴中子弟敬畏项羽,1,0,1,0,1,0
项羽攻打彭越,1,0,0,0,0,0
项羽报告楚怀王，楚怀王说按照约定办。项羽尊楚怀王为义帝，项羽封诸侯将相为王，项羽想称王,0,0,1,0,0,0
项梁派沛公和项羽率一支军队攻打城阳，沛公和项羽屠毁县城,1,0,0,0,0,0
汉王请求讲和，项羽想答应。历阳侯范增说，汉军容易对付，现在放掉他们，不予以消灭，以后一定要懊悔。项羽和范增围攻荥阳,1,0,1,0,0,0
战事有胜利,1,0,0,0,0,0
项羽学习认字，项羽没有学成。项羽击剑，项羽没有学成。项梁生项羽的气，项羽说字只不过用来记记姓名而已，剑抵敌一人，项羽要学抵抗万人的,0,0,0,0,1,0
沛公项羽离开外黄。沛公项羽说如今项梁的军队垮了士卒恐惧。,0,0,0,0,0,1
曹无伤派人对项羽说，沛公想称王关中，使子婴为相，占有了全部珍宝。项羽说，明天早晨饱餐，士卒将击溃沛公的军队,1,0,1,0,0,0
彭越反击楚军，彭越断绝楚军的粮食，项羽忧虑,1,0,0,0,0,0
秦始皇帝巡游会稽，渡过浙江，项羽说那个皇帝我可以取而代之。项梁捂住项羽的嘴，项梁说不许胡说八道当心全族要杀头啊,0,0,0,0,1,0
项羽调兵力，黥布称病，黥布派将领率兵几千人，项羽怨恨黥布,0,0,0,0,1,0
大司马曹咎是蕲县的狱掾，长史司马欣是栎阳的狱吏，两人对项梁有恩德，项羽信任曹咎和司马欣,0,0,0,0,1,0
项羽打算杀死太公。项伯说，天下大事还不能预料，而且打天下的人不顾念家眷，虽然杀了太公也没有好处只能增加祸患。项羽听从项伯的话,0,0,1,0,0,0
项羽封魏王豹为西魏王,0,0,1,0,0,0
平定天下的是各位将相和我项羽的力量,1,0,1,0,0,0
楚军杀死十多万汉军士卒，楚军包围汉王,1,0,0,0,0,0
项羽带兵屠毁咸阳，项羽杀死秦朝已经投降的国王子婴，项羽焚烧秦朝宫室,1,0,0,0,1,0
楚军报告项羽，项羽拘留太公吕后,0,0,1,0,1,0
项羽封共敖为临江王,0,0,1,0,0,0
项羽说，我知道你是个忠厚长者，这匹马送给你,0,0,0,0,1,0
汉王战败，诸侯向楚，诸侯背汉,1,0,0,0,0,0
项羽设置一个高大的砧板，项羽说，现在不快快投降，我就烹杀太公。,0,0,1,0,1,0
项羽说好吧,0,0,0,0,0,1
项羽封张耳为常山王,0,0,1,0,0,0
劝项王的人说，人们说楚国人是猕猴戴帽子装人，果然如此。项羽听到这话，烹杀劝说他的那个人,0,0,0,0,1,0
项羽赞成他的话，项羽赦免外黄应当坑杀的那些人,0,0,1,0,1,0
项羽封赵王为代王，,0,0,1,0,0,0
项羽听到这个消息，项羽令诸将，自己带领精兵越过胡陵。项羽到达萧县，项羽攻击汉军。项羽到达彭城，项羽大败汉军,1,0,0,0,0,0
项羽立章邯为雍王,0,0,1,0,0,0
项羽到东城，项羽有二十八个骑兵，项羽估计不能脱身了。项羽说，这是上天要灭亡我，这不是是我作战的过失,0,0,0,0,1,0
项羽封黥布为九江王,0,0,1,0,0,0
项羽封臧荼为燕王,0,0,1,0,0,0
项羽说，小心守卫成皋即，使汉军挑战千万不要和它交战，不要让它东进就行了。我杀彭越。我平定梁地,1,0,0,0,0,0
项羽派当阳君等攻打关口，项羽进入函谷关，到达戏水西岸,1,0,0,0,0,0
项羽让蒲将军渡过三户津，蒲将军扎营漳水南岸，蒲将军打败秦军,1,0,0,0,0,0
项羽订立和约，项羽解除军事对峙，项羽率军东归,0,0,1,0,0,0
秦将王翦杀项羽的父亲项燕,0,0,0,1,0,0
项羽封章邯为雍王,0,0,1,0,0,0
宋义不体恤士卒。项羽参见上将军宋义，项羽割宋义的脑袋。项羽说，宋义和齐国阴谋反楚，楚王命令我杀死他,0,0,1,0,0,0
项氏为楚将，项氏封项地，项氏姓项氏,0,0,0,1,0,0
项羽杀卿子冠军，项羽派遣当阳君、蒲将军带领两万士卒援救巨鹿,1,0,0,0,0,0
汉王派遣陆贾劝说项羽，项羽没有答应,0,0,1,0,0,0
项羽平定东海,1,0,0,0,0,0
大司马周殷背叛楚国，大司马周殷来到项羽阵前,0,0,0,0,0,1
楚军烧毁齐国房屋，楚军掳掠妇女，齐国人反抗项羽,1,0,0,0,1,0
项羽打败刘贾和彭越,1,0,0,0,0,0
项羽见到纪信，问汉王在哪里。纪信说汉王已经出城了。项羽烧死纪信,0,0,0,0,1,0
王翳割项王的头，其他骑兵争夺项王的尸体，郎中骑杨喜，骑司马吕马童，郎中吕胜、杨武得到项王的一段肢体。五个人把肢体合拢起来是项羽的。,0,0,0,0,0,1
项羽说本来打算并力攻秦却长期停留不进，形势发展的结果是秦军打垮赵国的军队,1,0,0,0,0,0
项羽封吴芮为衡山王,0,0,1,0,0,0
项羽听说汉王已经兼并了关中，将要东进，齐赵反叛项羽，项羽非常愤怒,0,0,0,0,1,0
项羽渡过淮水，项羽到阴陵，项羽迷失道路，项羽询问种田的人，种田的人欺骗项羽，项羽陷入沼泽，汉军追上项羽,0,0,0,0,0,1
沛公项羽攻打定陶，没有攻下,1,0,0,0,0,0
项羽靠近汉王军营，项羽要求决战，项羽射中汉王,1,0,0,0,0,0
项羽分割天下，项羽封将领们为侯王,1,0,1,0,0,0
汉王追击项羽，楚军攻击汉军，楚军大败汉军,1,0,0,0,0,0
高祖以南阳郡守为殷侯,0,0,1,0,0,0
高祖得到韩信的军队,1,0,0,0,0,0
刘氏冠是高祖派求盗到薛县制作的,0,0,0,0,0,1
高祖路过沛县，高祖摆设酒席，高祖挑选儿童，教儿童唱歌,0,0,0,0,1,0
高祖说：各位诸侯和将领不要隐瞒我，都要说心里话。我能得到天下是什么原因,0,0,1,0,0,0
高祖平定楚地，埋葬项羽,1,0,0,0,0,0
高祖姓刘，父亲叫太公，母亲叫刘媪。刘媪休息，雷电交作，太公见到一条蛟龙在刘媪身上，刘媪怀孕，刘媪生高祖。,0,1,0,0,0,0
高祖喜欢施舍,0,0,0,0,1,0
高祖封陈恢一千户,0,0,1,0,0,0
不愿意隶属高祖，雍齿背叛高祖,0,0,0,0,0,1
高祖袭击雍王章邯,1,0,0,0,0,0
高祖废秦社稷，改立汉社稷,0,0,1,0,0,0
高祖说服齐王田广,0,0,1,0,0,0
高祖封建成侯彭越为梁王，原来的韩王信仍为韩王，建都阳翟,0,0,1,0,0,0
高祖说：官吏和百姓要安居如故，我到来是除害,0,0,0,0,1,0
高祖说：当初楚怀王派遣我，本来是因为我能宽大容人,0,0,0,0,1,0
高祖说：我听说皇帝这一尊号，属于有贤德的人，徒有虚名而无其实，不足以守帝位。我不敢承受皇帝之位。,0,0,0,0,1,0
楚军出击汉军，打败汉军,1,0,0,0,0,0
高祖进入蚀中，高祖烧栈道，高祖防备诸侯军和匪徒的袭击，高祖表示没有东进的意图,1,0,0,0,0,0
樊哙跟着高祖来到沛县，沛县县令关闭城门，打算杀掉萧何、曹参。萧何、曹参翻城墙，依附高祖,1,0,0,0,0,0
高祖大赦天下,0,0,1,0,0,0
项羽愿和高祖西进入关,1,0,0,0,0,0
高祖来到田间，吕后告诉：一位客人从这里经过，给我们母子看相，说将来都是大贵人,0,0,0,0,0,1
高祖击败黥布的军队,1,0,0,0,0,0
高祖说：好,0,0,0,0,0,1
吕后找到高祖，高祖感到奇怪，吕后说：你所处的地方上面常有云气，向着有云气的地方去找，常常可以找到你。沛县子弟听到这件事想归附他。,0,1,0,0,0,0
吕公到门口迎接高祖,0,0,0,0,0,1
吕后问高祖：陛下百年以后，萧相国如果死了，让谁接替他？高祖说：曹参可以。高祖说：王陵可以。高祖说：周勃缺少文才，能安定刘氏天下的是周勃，周勃可以做太尉。吕后问其次，高祖说：这以后也不是我所能知道的。,0,0,1,0,0,0
高祖朝见太公，太公家令说：天无二日，地无二主。高祖是你的儿子，是万民的君主。太公是父亲，但属于臣下。君主拜见臣下，君主失去威严和尊贵。高祖朝拜太公，太公倒退行走。高祖惊，搀扶太公。太公说：皇帝是万民的君主，怎么能因为我的缘故破坏了天下的法纪。高祖遵奉太公为太上皇，高祖赞美太公家令,0,0,1,0,0,0
高祖喜欢女色,0,0,0,0,1,0
高祖任亭长，高祖送役徒，高祖估计：等走到郦山，大概都逃光了。高祖释放所押送的役徒。高祖说：各位都走吧，我也从此逃命去了,0,0,0,0,0,1
汉军想要攻打韩信,1,0,0,0,0,0
高祖赦免燕地官吏和百姓,0,0,1,0,0,0
高祖封皇子刘建为燕王,0,0,1,0,0,0
高祖封黥布,0,0,1,0,0,0
高祖试做官吏，高祖当泗水亭亭长,0,0,1,0,0,0
高祖征集一些士卒，军势击破楚军,1,0,0,0,0,0
秦始皇说：东南有天子气，秦始皇巡游东方，借以镇伏东南的天子气。高祖怀疑这件事与自己有关。,0,1,0,0,0,0
高祖说：义帝没有后代,0,0,0,0,0,1
高祖是宽大长者,0,0,0,0,1,0
高祖采取计策,0,0,1,0,0,0
高祖封儿子刘恢为梁王，儿子刘友为淮阳王,0,0,1,0,0,0
高祖说：你们知其一，不知其二。运筹划策我不如子房，镇守国家我不如萧何，我不如韩信。这三个人是人中俊杰，我任用他们，这是我取得天下的原因,0,0,1,0,0,0
高祖整理衣服，向郦食其道歉,0,0,0,0,1,0
高祖率领军队擒获燕王臧荼。高祖立太尉卢绾为燕王,0,0,1,0,0,0
高祖收集散兵，到达城阳，高祖打败秦军,1,0,0,0,0,0
泗水郡郡守壮逃戚，高祖左司马擒获杀死泗水郡郡守壮,1,0,0,0,0,0
高祖砍塞王司马欣的脑袋,1,0,0,0,0,0
少年子弟和有势的官吏，如萧何、曹参、樊哙等人，召集兵员，固守丰邑,1,0,0,0,0,0
高祖使郦生劝说魏豹,0,0,1,0,0,0
高祖追老人，老人说：刚才相过夫人和孩子，他们都跟你相似，你的相貌，贵不可言,0,1,0,0,0,0
高祖摆设酒席,0,0,0,0,0,1
番君的将领梅鋗立有战功，高祖感谢番君的恩德,0,0,1,0,0,0
高祖增设疑兵，树旗帜,1,0,0,0,0,0
高祖祭祀黄帝。高祖所杀蛇是白帝的儿子，杀蛇的是赤帝的儿子。,0,1,0,0,0,0
高祖去东垣,0,0,0,0,0,1
高祖攻丰,1,0,0,0,0,0
高祖的兵力敌不过项羽,1,0,0,0,0,0
高祖到长安,0,0,0,0,0,1
高祖命令雍齿首位丰邑，高祖引兵赴薛,1,0,0,0,0,0
高祖慰劳士卒，安定军心,0,0,1,0,0,0
梁王彭越要反叛，高祖处死他的三族,0,0,1,0,0,0
高祖有远大的志向,0,0,0,0,1,0
高祖派韩信打败韩王郑昌,1,0,0,0,0,0
高祖、项羽驻军濮阳东面，击破秦军,1,0,0,0,0,0
袁生劝高祖，说：汉与楚在荥阳相持了几年，汉军常处境困难。高祖采纳袁生的计策，出兵宛县、叶县之间，收集兵马,1,0,0,0,0,0
高祖讨伐淮南王黥布,1,0,0,0,0,0
高祖亲自攻打利几,1,0,0,0,0,0
高祖赦免代地被胁迫的官吏和百姓,0,0,1,0,0,0
高祖怨恨雍齿,0,0,0,0,1,0
高祖即皇帝位,0,0,0,0,0,1
赵高派人见高祖，高祖以为是诈骗，高祖采用张良的计策，派郦生、陆贾游说秦军将领，袭击武关,1,0,0,0,0,0
陈胜等在蕲县歧义，为王，号称张楚。各郡县杀死长官响应陈胜。沛县县令为秦朝的官吏，要叛秦起事，派樊哙召唤高祖。,1,0,0,0,0,0
武负、王媪看见高祖上面常有一条龙，武负、王媪感到很奇怪,0,1,0,0,0,0
高祖出函谷关，到达陕县，高祖给张耳优厚的待遇,1,0,0,0,0,0
高祖派人与秦朝官吏训醒县城乡间，秦地的百姓争拿牛羊酒款待士兵。高祖说：仓库的谷子很多，不缺乏，不愿破费百姓,0,0,0,0,1,0
高祖打垮秦军,1,0,0,0,0,0
淮阴侯韩信谋反关中，高祖处死韩信的三族,0,0,1,0,0,0
高祖派辟阳侯接卢绾,0,0,0,0,0,1
高祖同父老们约定，法律只有三条：杀人的处死，伤人和抢劫的处以与所犯罪相当的刑罚,0,0,1,0,0,0
高祖赊酒，高祖买酒，高祖赊债务。这两家酒店一笔勾销高祖所赊债务。,0,0,0,0,1,0
萧何说：高祖本来大话很多，很少成事,0,0,0,0,1,0
高祖任砀郡长,0,0,1,0,0,0
高祖说：陈豨曾经给我做事，很遵守信用。封陈豨为列侯,0,0,1,0,0,0
高祖杀死魏豹,1,0,0,0,0,0
吕公有一亲生女儿，吕公女儿愿意做高祖的妻子。吕媪生吕公的气，说：你最初常想使这个女儿与众不同，把女儿嫁给贵人。吕公作主张，说：这不是你们这些妇孺之辈所能懂得的。吕公女儿嫁给高祖。,0,0,0,1,0,0
高祖封吴芮为长沙王，建都临湘,0,0,1,0,0,0
高祖攻占轘辕,1,0,0,0,0,0
高祖回到长安,0,0,0,0,0,1
高祖引兵成皋,1,0,0,0,0,0
医生见高祖，说：病可以治好。高祖谩骂医生，说：我以一个布衣平民，手提三尺剑取得天下，这不是天命吗？命运在天，虽有扁鹊，又有什么用处！高祖不让医生治病，赏赐黄金，叫医生离去。,0,0,0,0,1,0
高祖命令别将追击淮南王黥布,1,0,0,0,0,0
楚怀王派遣高祖进攻秦地,1,0,0,0,0,0
高祖和项羽攻城，到雍丘城下。高祖和项羽破秦军，杀了李由,1,0,0,0,0,0
高祖整修河上郡内的长城,0,0,1,0,0,0
高祖听说东阳宁君、秦嘉立景驹为假王，住在留县。东阳宁君、高祖引兵，收集散兵，攻下砀县。东阳宁君、高祖手边降兵，得到五六千人，进攻下邑。东阳宁君、高祖回丰邑。高祖回来，攻丰。,1,0,0,0,0,0
儿子刘恒为代王,0,0,1,0,0,0
高祖想长期建都雒阳，其人刘敬劝阻高祖，留侯张良劝说高祖。高祖进入关中建都,0,0,1,0,0,0
高祖看见宫阙极为华丽，高祖非常生气,0,0,0,0,1,0
高祖立刘仲为代王,0,0,1,0,0,0
安葬高祖,0,0,0,0,0,1
赵利的士卒辱骂高祖，高祖气愤。没有辱骂高祖的，高祖宽恕他们,0,0,0,0,1,0
天下平定,0,0,1,0,0,0
高祖驻扎砀,1,0,0,0,0,0
高祖回到沛县,0,0,0,0,0,1
高祖和诸侯们约定，先入关的在关中称王,0,0,0,0,0,1
吕后给老人食物，老人说：夫人是天下的贵人,0,1,0,0,0,0
高祖和项羽听说项梁死了,0,0,0,0,0,1
高祖为皇帝,0,0,1,0,0,0
高祖攻打黥布,1,0,0,0,0,0
高祖论定功劳大小，封侯食邑,0,0,1,0,0,0
高祖率军攻打叛贼,1,0,0,0,0,0
汉军断绝粮食，汉军放女子。将军纪信乘坐高祖的车驾欺骗楚军，高祖出西门,0,0,1,0,0,0
高祖写一封信，说：天下苦于秦朝的暴政已经很久了。诸侯屠戮沛县，沛县父老响应诸侯军立保性命。沛县父老率领子弟杀沛县县令，打开城门迎接高祖，沛县父老想让高祖做沛县县令,0,0,1,0,0,0
高祖和诸侯军攻打楚军,1,0,0,0,0,0
汉军将领破黥布军，杀死黥布,1,0,0,0,0,0
高祖最腿上有七十二颗黑痣,0,1,0,0,0,0
高祖、项羽率军队，杀戮城中军民,1,0,0,0,0,0
高祖回到军中，驻扎在广武,1,0,0,0,0,0
高祖命令御史大夫周苛、魏豹、枞公留守荥阳。不能随从的将领和士卒留在城中,1,0,0,0,0,0
高祖来到阳夏南面，高祖采用计策,0,0,1,0,0,0
高祖派薛欧、王西迎接太公、吕后于沛县,0,0,0,0,1,0
张耳归附高祖,0,0,1,0,0,0
楚军掳取高祖的父母妻子,0,0,0,0,0,1
高祖封闭珍宝,0,0,0,0,0,1
高祖讨伐陈豨,1,0,0,0,0,0
高祖绕宛城。张良说：沛公你虽然急于打入函谷关，但秦兵还很多，又据守险要。高祖更换旗帜，包围宛城。,1,0,0,0,0,0
高祖作诗，高祖跳舞，高祖说：远游的人思念故乡。我虽然建都关中，千秋万岁后，我的魂魄还是会怀思沛县。我免除沛县百姓的徭役。沛县父老兄弟开怀。,0,0,1,0,0,0
高祖封儿子刘长为淮南王,0,0,1,0,0,0
九江王黥布归汉,1,0,0,0,0,0
孝惠帝让高祖所教唱歌的儿童做高祖原庙中演奏音乐的人员,0,0,0,0,0,1
吕后让老人看相，老人说：夫人所以显贵，就是孝惠的缘故。鲁元是贵相。,0,1,0,0,0,0
高祖命令樊哙留下来,0,0,1,0,0,0
高祖攻打颍阳，高祖屠颍阳城,1,0,0,0,0,0
高祖设置河南郡,0,0,1,0,0,0
高祖戏辱堂上的客人,0,0,0,0,1,0
有人劝高祖：项羽来到关中救国，你高祖就不能占有这个地方了。应该派兵把手函谷关，征集兵，加强实力。高祖赞成这个人的计谋。,0,0,1,0,0,0
高祖到达雒阳,0,0,0,0,0,1
高祖到达咸阳，高祖攻占陇西,1,0,0,0,0,0
孝武皇帝遥祭仙山，孝武皇帝希望前往仙人所在的异域,0,1,0,0,0,0
孝武皇帝把女儿卫长公主嫁栾大，孝武皇帝到栾大的府第，派使者慰问,0,0,1,1,0,0
孝武皇帝贬退徐偃周霸，孝武皇帝罢黜这些儒生，不予任用,0,0,1,1,0,0
孝武皇帝请一个神君，孝武皇帝供奉神君,0,1,0,0,0,0
祭月神用一只羊或一头猪，祭祀泰一神的司祭官员穿紫衣和绣花的衣服，祭日神穿赤色衣，祭月神穿白色衣,0,0,0,0,0,1
孝武皇帝到梁父山祭地,0,1,0,0,0,0
孝武皇帝征伐朝鲜,1,0,0,0,0,0
孝武皇帝建寿宫，张挂羽旗，陈设供神用具，接神君。孝武皇帝纪录神君所说的话，神君所说的话是世俗人知晓的，孝武皇帝喜欢,0,1,0,0,0,0
常山王有罪，孝武皇帝封常山王的弟弟为真定王，孝武皇帝延续对常山王祖先的祭祀,0,0,1,0,0,0
孝武皇帝到达枞阳，孝武皇帝祭祀名山大川,0,1,0,0,0,0
孝武皇帝祭祀泰一,0,1,0,0,0,0
孝武皇帝举行除灾去邪的仪式，孝武皇帝进入室中,0,1,0,0,0,0
孝武皇帝即位,0,0,1,0,0,0
天上有神光的瑞应，孝武皇帝下诏说甘泉宫中生出九茎灵芝大赦天下免除监外服徒刑的劳役,0,1,1,0,1,0
各郡国都修筑街道，各郡国都修建宫观和名山上的神祠，期望天子驾临,0,0,0,0,0,1
孝武皇帝令太祝建立薄诱忌说的这种祠坛，孝武皇帝祭祀依照薄诱忌的方法,0,1,0,0,0,0
孝武皇帝到瓠子口部署堵塞黄河的决口，孝武皇帝沉祭品祭祀河神。孝武皇帝派两个将军堵塞河道的决口，两个将军使河水流过从另外两条河道,0,1,1,0,0,0
孝武皇帝大赦天下，孝武皇帝安置神君,0,1,1,0,0,0
孝武皇帝崇信儒家的学术，孝武皇帝招纳有才学的人,0,0,1,0,0,0
孝武皇帝举行郊祭，捕获一头独角兽，进献五畤，予以焚烧，报答天赐。孝武皇帝赐白金,0,1,1,0,0,0
孝武皇帝说，近来黄河泛滥已有好几年谷物收成不好,0,0,1,0,0,0
孝武皇帝举行封禅大典,0,0,1,0,0,0
隔三年举行郊祭,0,0,0,0,0,1
主管官员说，陛下建立了汉朝的封禅礼制上天出现德星作为对您的报答,0,1,0,0,0,0
孝武皇帝到泰山，孝武皇帝去明堂祭祀天，孝武皇帝不举行封禅,0,0,0,0,0,1
孝武皇帝巡视南郡，孝武皇帝到江陵，孝武皇帝登潜县的天柱山，孝武皇帝称这座山为南岳,0,0,1,0,0,0
孝武皇帝到甘泉祭告泰一神这一特别事件,0,1,0,0,0,0
孝武皇帝让公卿大臣讨论,0,0,1,0,0,0
公孙卿说在曾在东莱山看到仙人。孝武皇帝来到缑氏城，孝武皇帝任命公孙卿为中大夫。,0,1,0,0,0,0
孝武皇帝征伐南越，祷告泰一神,1,1,0,0,0,0
孝武皇帝来到东莱，孝武皇帝看到脚印，孝武皇帝派遣数以千计的方士访求神怪，采集灵芝药草,0,1,0,0,0,0
孝武皇帝回到奉高，孝武皇帝考虑儒生和方士议论的封禅,0,0,1,0,0,0
孝武皇帝回到泰山，孝武皇帝举行五年一次的封禅典礼，孝武皇帝增加礼仪,0,1,1,0,0,0
孝武皇帝到达鸣泽,0,0,0,0,0,1
孝武皇帝任命公孙卿为郎官，孝武皇帝派公孙卿前往太室山迎候神仙,0,1,0,0,0,0
孝武皇帝巡海上，祭祀天主、地主、兵主、阴主、阳主、月主、日主和四时主八神,0,1,0,0,0,0
孝武皇帝到缑氏城察看脚印，孝武皇帝问，你该不会仿效文成五利欺骗我吧,0,1,1,0,0,0
孝武皇帝登泰山举行秘密祭祀,0,1,0,0,0,0
孝武皇帝行缑氏县，随行的官员听到好像有人呼喊万岁的声音，孝武皇帝以三百户封给太室作为供奉祭祠之用,0,0,1,0,1,0
寿星一再出现显示天下安宁灿烂光明，信星显示国运长久，皇帝拜谢祝祷,0,1,0,0,0,0
孝武皇帝叫栾大试验小方术，栾大表演斗棋。孝武皇帝担心决堤，孝武皇帝拜栾大为将军，栾大得四个金印。,0,1,1,0,0,0
孝武皇帝命令准备祭祀用具，孝武皇帝命令公玊带等候神灵,0,1,0,0,0,0
孝武皇帝增派船只，孝武皇帝命令几千人求访蓬莱仙人,0,1,0,0,0,0
孝武皇帝命令任侍中的儒生戴白鹿皮帽，穿插笏的官服，举行射牛仪式，郊祀泰一,0,1,0,0,0,0
孝武皇帝想在奉高县附近修建明堂，孝武皇帝不知道明堂的制度。济南人公献黄帝时的明堂图，孝武皇帝命令奉高县修建明堂,0,0,1,0,0,0
孝武皇帝射获麃,1,0,0,0,0,0
孝武皇帝到荥阳，孝武皇帝返回长安。孝武皇帝开始巡视各郡县,0,0,1,0,0,0
孝武皇帝亲临高里山祭祀后土,0,1,0,0,0,0
孝武皇帝受封胶东王,0,0,1,0,0,0
孝武皇帝巡视朔方，孝武皇帝统率十余万士卒祭黄帝陵，孝武皇帝犒赏军队,1,0,0,0,0,0
齐人少翁招王夫人及灶神的形貌，孝武皇帝看见王夫人，孝武皇帝授予齐人少翁为文成将军，孝武皇帝赏赐东西，孝武皇帝接待他,0,1,0,0,0,0
孝武皇帝注重对鬼神的祭祀,0,1,0,0,0,0
